"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
54,"ACHV","Achieve Life Sciences, Inc.","Healthcare","Biotechnology","USA",4.22,,3.22,0.00%,54643
55,"ACIA","Acacia Communications, Inc.","Technology","Communication Equipment","USA",1381.74,57.34,33.66,3.86%,1128167
56,"ACIM","SPDR MSCI ACWI IMI ETF","Financial","Exchange Traded Fund","USA",,,79.48,-0.38%,1646
57,"ACIU","AC Immune SA","Healthcare","Biotechnology","Switzerland",966.83,,9.65,-2.72%,144379
58,"ACIW","ACI Worldwide, Inc.","Technology","Technical & System Software","USA",3111.13,140.48,26.55,0.34%,1201342
59,"ACLS","Axcelis Technologies, Inc.","Technology","Semiconductor Equipment & Materials","USA",734.95,6.42,22.90,2.46%,514940
60,"ACM","AECOM","Services","Technical Services","USA",5421.89,38.72,33.57,0.57%,489185
61,"ACMR","ACM Research, Inc.","Technology","Semiconductor Equipment & Materials","USA",230.35,,14.29,3.18%,109295
62,"ACN","Accenture plc","Technology","Information Technology Services","Ireland",111315.46,24.13,160.15,0.28%,1774654
63,"ACNB","ACNB Corporation","Financial","Regional - Southwest  Banks","USA",243.94,14.75,34.70,1.17%,6784
64,"ACOR","Acorda Therapeutics, Inc.","Healthcare","Biotechnology","USA",1254.50,,26.00,5.05%,760782
65,"ACP","Avenue Income Credit Strategies Fund","Financial","Closed-End Fund - Debt","USA",,,13.99,0.52%,57167
66,"ACRE","Ares Commercial Real Estate Corporation","Financial","REIT - Diversified","USA",403.00,11.31,14.18,0.57%,77091
67,"ACRS","Aclaris Therapeutics, Inc.","Healthcare","Biotechnology","USA",616.53,,18.08,3.43%,221586
68,"ACRX","AcelRx Pharmaceuticals, Inc.","Healthcare","Medical Appliances & Equipment","USA",162.71,,2.60,-1.89%,426067
69,"ACSF","American Capital Senior Floating, Ltd.","Financial","Asset Management","USA",122.50,20.15,12.25,-0.41%,31448
70,"ACSI","American Customer Satisfaction ETF","Financial","Exchange Traded Fund","USA",,,33.00,0.40%,772
71,"ACST","Acasti Pharma Inc.","Healthcare","Biotechnology","Canada",8.49,,0.58,0.94%,278352
72,"ACT","AdvisorShares Vice ETF","Financial","Exchange Traded Fund","USA",,,25.69,-0.35%,1785
73,"ACTG","Acacia Research Corporation","Services","Business Services","USA",197.36,94.87,3.70,-2.63%,117957
74,"ACU","Acme United Corporation","Consumer Goods","Housewares & Accessories","USA",71.48,16.17,22.20,3.26%,9990
75,"ACV","AllianzGI Diversified Income &","Consumer Goods","Personal Products","USA",248.16,5.62,24.14,0.04%,25303
76,"ACWF","iShares Edge MSCI Multifactor Global ETF","Financial","Exchange Traded Fund","USA",,,30.56,-0.02%,77659
77,"ACWI","iShares MSCI ACWI ETF","Financial","Exchange Traded Fund","USA",,,73.10,-0.05%,2475512
78,"ACWV","iShares Edge MSCI Min Vol Global ETF","Financial","Exchange Traded Fund","USA",,,85.44,-0.02%,85718
79,"ACWX","iShares MSCI ACWI ex US ETF","Financial","Exchange Traded Fund","USA",,,48.00,-0.79%,314639
80,"ACXM","Acxiom Corporation","Technology","Information Technology Services","USA",3280.09,,40.43,-0.10%,674352
81,"ACY","AeroCentury Corp.","Services","Rental & Leasing Services","USA",24.35,14.34,17.15,0.73%,9
82,"ADAP","Adaptimmune Therapeutics plc","Healthcare","Biotechnology","United Kingdom",930.93,,9.79,1.14%,1030287
83,"ADBE","Adobe Systems Incorporated","Technology","Application Software","USA",127555.22,52.61,252.22,1.70%,2381259
84,"ADC","Agree Realty Corporation","Financial","Property Management","USA",1699.41,27.91,53.83,0.15%,96875
85,"ADES","Advanced Emissions Solutions, Inc.","Industrial Goods","Pollution & Treatment Controls","USA",232.46,7.11,11.23,-0.53%,30366
86,"ADI","Analog Devices, Inc.","Technology","Semiconductor - Integrated Circuits","USA",35627.24,85.27,96.19,0.16%,1706805
87,"ADM","Archer-Daniels-Midland Company","Consumer Goods","Farm Products","USA",27778.42,25.33,49.34,2.56%,6795942
88,"ADMA","ADMA Biologics, Inc.","Healthcare","Biotechnology","USA",283.23,,6.25,-2.34%,170898
89,"ADMP","Adamis Pharmaceuticals Corporation","Healthcare","Drug Delivery","USA",103.51,,3.10,-6.06%,3846940
90,"ADMS","Adamas Pharmaceuticals, Inc.","Healthcare","Drugs - Generic","USA",682.23,,24.89,3.02%,589859
91,"ADNT","Adient plc","Basic Materials","Industrial Metals & Minerals","Ireland",4279.59,27.13,45.82,1.08%,1371878
92,"ADOM","ADOMANI, Inc.","Consumer Goods","Auto Parts","USA",61.07,,0.81,5.68%,878902
93,"ADP","Automatic Data Processing, Inc.","Technology","Business Software & Services","USA",59398.21,34.11,133.15,0.41%,2358775
94,"ADRA","Invesco BLDRS Asia 50 ADR","Financial","Exchange Traded Fund","USA",,,33.43,-1.28%,232
95,"ADRD","Invesco BLDRS Developed Markets 100 ADR","Financial","Exchange Traded Fund","USA",,,22.87,-0.87%,7560
96,"ADRE","Invesco BLDRS Emerging Markets 50 ADR","Financial","Exchange Traded Fund","USA",,,41.81,-0.66%,8664
97,"ADRO","Aduro BioTech, Inc.","Healthcare","Biotechnology","USA",500.14,,5.75,6.48%,515533
98,"ADRU","Invesco BLDRS Europe Select ADR","Financial","Exchange Traded Fund","USA",,,22.16,-1.19%,4024
99,"ADS","Alliance Data Systems Corporation","Services","Business Services","USA",12956.18,15.23,225.09,-0.20%,295066
100,"ADSK","Autodesk, Inc.","Technology","Technical & System Software","USA",29770.70,,131.16,3.13%,1452423
101,"ADSW","Advanced Disposal Services, Inc.","Industrial Goods","Waste Management","USA",2130.58,304.68,24.07,-1.67%,882662
102,"ADT","ADT Inc.","Services","Security & Protection Services","USA",6626.88,22.22,8.62,-3.69%,2390251
103,"ADTN","ADTRAN, Inc.","Technology","Communication Equipment","USA",781.36,,16.20,0.31%,135169
104,"ADUS","Addus HomeCare Corporation","Healthcare","Home Health Care","USA",810.14,52.77,69.60,1.53%,88445
105,"ADVM","Adverum Biotechnologies, Inc.","Healthcare","Biotechnology","USA",315.24,,4.60,0.00%,425077
106,"ADX","Adams Diversified Equity Fund, Inc.","Financial","Closed-End Fund - Equity","USA",1637.82,4.35,15.96,0.57%,136653
107,"ADXS","Advaxis, Inc.","Healthcare","Biotechnology","USA",78.89,,1.38,-3.50%,422331
108,"AE","Adams Resources & Energy, Inc.","Basic Materials","Oil & Gas Refining & Marketing","USA",174.62,48.69,40.61,0.35%,6522
109,"AEE","Ameren Corporation","Utilities","Electric Utilities","USA",15003.93,20.71,61.77,0.67%,1553556
110,"AEF","Aberdeen Emerging Markets Equit","Financial","Asset Management","United Kingdom",66.43,2.47,7.06,-1.53%,102721
111,"AEG","Aegon N.V.","Financial","Life Insurance","Netherlands",13178.69,5.01,6.31,-3.37%,1630488
112,"AEGN","Aegion Corporation","Industrial Goods","Heavy Construction","USA",797.14,,24.37,-0.12%,127563
113,"AEHR","Aehr Test Systems","Technology","Semiconductor Equipment & Materials","USA",58.47,94.80,2.37,-0.42%,47904
114,"AEIS","Advanced Energy Industries, Inc.","Technology","Diversified Electronics","USA",2379.12,10.85,60.05,0.25%,489558
115,"AEL","American Equity Investment Life Holding Company","Financial","Life Insurance","USA",3135.63,10.87,35.62,-0.17%,342080
116,"AEM","Agnico Eagle Mines Limited","Basic Materials","Gold","Canada",10347.71,62.01,41.30,-0.15%,1361400
117,"AEMD","Aethlon Medical, Inc.","Technology","Scientific & Technical Instruments","USA",22.02,,1.22,-0.24%,57373
118,"AEO","American Eagle Outfitters, Inc.","Services","Apparel Stores","USA",4583.26,22.45,25.28,2.72%,3041353
119,"AEP","American Electric Power Company, Inc.","Utilities","Electric Utilities","USA",34729.58,18.29,70.49,0.27%,2404502
120,"AER","AerCap Holdings N.V.","Services","Air Services, Other","Netherlands",8345.96,8.40,57.27,0.65%,1634385
121,"AERI","Aerie Pharmaceuticals, Inc.","Healthcare","Drug Manufacturers - Major","USA",2853.22,,67.95,-1.09%,229701
122,"AES","The AES Corporation","Utilities","Electric Utilities","USA",8982.16,37.53,13.55,0.59%,10164765
123,"AET","Aetna Inc.","Healthcare","Health Care Plans","USA",61025.06,17.27,187.05,0.14%,2031596
124,"AETI","American Electric Technologies, Inc","Industrial Goods","Industrial Electrical Equipment","USA",10.64,,1.22,3.29%,38022
125,"AEY","ADDvantage Technologies Group, Inc.","Services","Electronics Wholesale","USA",14.99,,1.46,0.00%,3848
126,"AEZS","Aeterna Zentaris Inc.","Healthcare","Biotechnology","Canada",32.15,34.36,1.89,-1.56%,48479
127,"AFB","AllianceBernstein National Municipal Income Fund","Financial","Closed-End Fund - Debt","USA",,,12.58,-0.55%,93892
128,"AFG","American Financial Group, Inc.","Financial","Property & Casualty Insurance","USA",10003.73,18.61,113.64,0.83%,416579
129,"AFGE","American Financial Group, Inc.","Financial","Property & Casualty Insurance","USA",2265.31,4.98,25.74,0.00%,7623
130,"AFH","Atlas Financial Holdings, Inc.","Financial","Property & Casualty Insurance","USA",98.61,,8.35,-0.60%,55586
131,"AFI","Armstrong Flooring, Inc.","Industrial Goods","General Building Materials","USA",332.83,,12.85,-1.00%,44508
132,"AFK","VanEck Vectors Africa ETF","Financial","Exchange Traded Fund","USA",,,23.24,-1.36%,6227
133,"AFL","Aflac Incorporated","Financial","Accident & Health Insurance","USA",36093.58,12.50,46.36,-0.79%,2517071
134,"AFMD","Affimed N.V.","Healthcare","Biotechnology","Germany",109.21,,1.70,-2.86%,162261
135,"AFSI","AmTrust Financial Services, Inc.","Financial","Property & Casualty Insurance","USA",2851.08,19.25,14.53,0.00%,532694
136,"AFT","Apollo Senior Floating Rate Fund Inc.","Financial","Asset Management","USA",,,15.99,-0.50%,88724
137,"AFTY","CSOP FTSE China A50 ETF","Financial","Exchange Traded Fund","USA",,,14.47,-1.96%,9011
138,"AG","First Majestic Silver Corp.","Basic Materials","Silver","Canada",1081.86,,6.55,0.31%,1553049
139,"AGC","Advent Claymore Convertible Securities & Income Fund II","Financial","Exchange Traded Fund","USA",153.78,,5.59,0.18%,144449
140,"AGCO","AGCO Corporation","Industrial Goods","Farm & Construction Machinery","USA",4765.90,18.77,61.44,-0.24%,691868
141,"AGD","Alpine Global Dynamic Dividend Fund","Financial","Closed-End Fund - Foreign","USA",,,10.39,-0.67%,32722
142,"AGEN","Agenus Inc.","Healthcare","Biotechnology","USA",186.24,,1.76,-4.35%,1017552
143,"AGF","DB Agriculture Long ETN","Financial","Exchange Traded Fund","USA",,,9.99,0.30%,25
144,"AGFS","AgroFresh Solutions, Inc.","Conglomerates","Conglomerates","USA",354.01,64.91,7.01,0.43%,111942
145,"AGG","iShares Core US Aggregate Bond ETF","Financial","Exchange Traded Fund","USA",,,105.74,0.04%,3671901
146,"AGGE","IQ Enhanced Core Bond US ETF","Financial","Exchange Traded Fund","USA",,,18.56,0.05%,111507
147,"AGGP","IQ Enhanced Core Plus Bond US ETF","Financial","Exchange Traded Fund","USA",,,19.16,0.16%,762341
148,"AGGY","WisdomTree Yield Enhanced US Aggt Bd ETF","Financial","Exchange Traded Fund","USA",,,48.52,0.04%,55413
149,"AGI","Alamos Gold Inc.","Basic Materials","Gold","Canada",1631.20,66.46,5.45,0.18%,1177943
150,"AGIO","Agios Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",4516.63,,80.41,-7.29%,660340
151,"AGLE","Aeglea BioTherapeutics, Inc.","Healthcare","Biotechnology","USA",224.41,,9.22,0.33%,77988
152,"AGM","Federal Agricultural Mortgage Corporation","Financial","Credit Services","USA",978.75,13.20,93.75,0.75%,33272
153,"AGMH","AGM Group Holdings Inc.","Technology","Application Software","China",317.18,78.32,14.88,-2.68%,14518
154,"AGN","Allergan plc","Healthcare","Drugs - Generic","USA",61857.27,,184.28,0.16%,1397999
155,"AGNC","AGNC Investment Corp.","Financial","REIT - Residential","USA",7979.76,5.53,19.16,1.22%,10315092
156,"AGNCB","AGNC Investment Corp.","Financial","REIT - Residential","USA",10104.54,12.66,25.82,0.13%,11511
